y_px,x_px,sigma_px,height_nm,mean_nm,baseline_nm,area_px,x_nm,y_nm,method
493.0,182.0,5.807980537414551,1831.412841796875,1772.2528076171875,715.1640625,213,1066.40625,2888.671875,baseline
32.0,484.0,4.846384048461914,1864.0548706054688,1576.565673828125,334.26617431640625,145,2835.9375,187.5,baseline
314.0,455.0,4.846384048461914,1757.650146484375,1419.90283203125,364.828369140625,145,2666.015625,1839.84375,baseline
423.0,339.0,4.846384048461914,1675.1906127929688,1442.338134765625,474.24542236328125,145,1986.328125,2478.515625,baseline
355.0,500.0,4.846384048461914,1319.034423828125,1708.845947265625,1076.615234375,145,2929.6875,2080.078125,baseline
237.0,44.0,4.846384048461914,1275.5976257324219,1190.112548828125,355.5757141113281,145,257.8125,1388.671875,baseline
231.0,501.0,3.8847882747650146,1467.5106658935547,968.1612548828125,218.7749786376953,97,2935.546875,1353.515625,baseline
241.0,67.0,3.8847882747650146,1392.0109558105469,951.7151489257812,236.69485473632812,97,392.578125,1412.109375,baseline
231.0,140.0,2.923192024230957,1112.5666809082031,1000.9017944335938,283.8274841308594,57,820.3125,1353.515625,baseline
235.0,227.0,3.8847882747650146,1116.027099609375,916.142333984375,250.2373046875,97,1330.078125,1376.953125,baseline
251.0,379.0,3.8847882747650146,1267.2035217285156,934.23974609375,262.9898376464844,97,2220.703125,1470.703125,baseline
231.0,175.0,2.923192024230957,1261.4365844726562,992.69091796875,321.25921630859375,57,1025.390625,1353.515625,baseline
137.0,28.0,2.923192024230957,1172.0334777832031,974.1697998046875,257.4867858886719,57,164.0625,802.734375,baseline
231.0,293.0,2.923192024230957,1232.0194702148438,1031.0474853515625,353.17279052734375,57,1716.796875,1353.515625,baseline
243.0,260.0,3.8847882747650146,1103.2642517089844,893.6879272460938,261.2550354003906,97,1523.4375,1423.828125,baseline
113.0,311.0,3.8847882747650146,1135.030502319336,801.8803100585938,172.98121643066406,97,1822.265625,662.109375,baseline
322.0,206.0,3.8847882747650146,1196.8045654296875,981.4367065429688,382.68701171875,97,1207.03125,1886.71875,baseline
445.0,256.0,3.8847882747650146,1067.7452697753906,896.400146484375,311.4488220214844,97,1500.0,2607.421875,baseline
253.0,492.0,3.8847882747650146,1060.0349731445312,910.4660034179688,307.44354248046875,97,2882.8125,1482.421875,baseline
432.0,286.0,2.923192024230957,1079.6844482421875,1166.3760986328125,509.5198974609375,57,1675.78125,2531.25,baseline
256.0,288.0,3.8847882747650146,1214.4149475097656,876.7366943359375,326.2112731933594,97,1687.5,1500.0,baseline
436.0,63.0,3.8847882747650146,1160.6625366210938,1014.1229248046875,505.53533935546875,97,369.140625,2554.6875,baseline
472.0,456.0,3.8847882747650146,1000.0162353515625,995.0654296875,436.2078857421875,97,2671.875,2765.625,baseline
306.0,294.0,3.8847882747650146,1176.885498046875,860.934814453125,316.3365478515625,97,1722.65625,1792.96875,baseline
229.0,13.0,3.8847882747650146,1313.059326171875,789.6093139648438,266.642578125,97,76.171875,1341.796875,baseline
379.0,439.0,3.8847882747650146,1055.2872314453125,1072.7666015625,564.1749267578125,97,2572.265625,2220.703125,baseline
236.0,424.0,2.923192024230957,1046.6904296875,871.431396484375,220.4326171875,57,2484.375,1382.8125,baseline
310.0,231.0,3.8847882747650146,955.7959289550781,983.6172485351562,408.4192810058594,97,1353.515625,1816.40625,baseline
317.0,87.0,3.8847882747650146,993.603759765625,949.7010498046875,438.7393798828125,97,509.765625,1857.421875,baseline
270.0,511.0,4.846384048461914,951.4360046386719,773.3499145507812,222.79690551757812,79,2994.140625,1582.03125,baseline
22.0,186.0,3.8847882747650146,1052.8290405273438,877.3123168945312,350.91998291015625,97,1089.84375,128.90625,baseline
282.0,451.0,3.8847882747650146,985.419189453125,837.8845825195312,348.0989990234375,97,2642.578125,1652.34375,baseline
465.0,142.0,2.923192024230957,971.6268920898438,980.6515502929688,362.65032958984375,57,832.03125,2724.609375,baseline
44.0,358.0,3.8847882747650146,940.9058837890625,919.036865234375,494.76025390625,97,2097.65625,257.8125,baseline
35.0,69.0,2.923192024230957,934.7697143554688,1039.0621337890625,490.95904541015625,57,404.296875,205.078125,baseline
297.0,385.0,3.8847882747650146,1102.8676147460938,933.5560302734375,423.41522216796875,97,2255.859375,1740.234375,baseline
139.0,505.0,2.923192024230957,1003.6572875976562,968.0151977539062,383.18646240234375,57,2958.984375,814.453125,baseline
329.0,172.0,3.8847882747650146,1050.3988342285156,848.0704956054688,327.1954040527344,97,1007.8125,1927.734375,baseline
347.0,375.0,3.8847882747650146,1252.8861083984375,955.826416015625,460.5555419921875,97,2197.265625,2033.203125,baseline
235.0,203.0,2.923192024230957,970.5033721923828,839.76904296875,240.4104461669922,57,1189.453125,1376.953125,baseline
411.0,511.0,3.8847882747650146,1050.5395812988281,917.3265380859375,424.6879577636719,54,2994.140625,2408.203125,baseline
59.0,405.0,2.923192024230957,1095.0662231445312,937.66796875,400.11297607421875,57,2373.046875,345.703125,baseline
158.0,353.0,2.923192024230957,1028.1299438476562,876.8333740234375,321.43927001953125,57,2068.359375,925.78125,baseline
152.0,384.0,3.8847882747650146,937.5503540039062,853.986083984375,342.54473876953125,97,2250.0,890.625,baseline
256.0,47.0,3.8847882747650146,976.5827331542969,795.8036499023438,304.4725646972656,97,275.390625,1500.0,baseline
306.0,358.0,3.8847882747650146,939.5308837890625,811.95263671875,298.9915771484375,97,2097.65625,1792.96875,baseline
47.0,253.0,2.923192024230957,946.5741882324219,949.3355712890625,364.0630187988281,57,1482.421875,275.390625,baseline
122.0,190.0,2.923192024230957,960.7188720703125,839.4588623046875,293.9603271484375,57,1113.28125,714.84375,baseline
421.0,183.0,3.8847882747650146,1124.8121948242188,839.0263671875,347.29913330078125,97,1072.265625,2466.796875,baseline
191.0,214.0,3.8847882747650146,1015.7573547363281,865.7111206054688,367.7872009277344,97,1253.90625,1119.140625,baseline
344.0,82.0,3.8847882747650146,973.021240234375,857.2842407226562,367.9466552734375,97,480.46875,2015.625,baseline
408.0,62.0,3.8847882747650146,954.1605529785156,896.6856689453125,439.1558532714844,97,363.28125,2390.625,baseline
51.0,462.0,3.8847882747650146,940.53759765625,931.3604736328125,450.3466796875,97,2707.03125,298.828125,baseline
205.0,494.0,3.8847882747650146,885.6338806152344,675.0401611328125,164.92080688476562,97,2894.53125,1201.171875,baseline
396.0,113.0,3.8847882747650146,1038.6158752441406,876.7222900390625,406.9073181152344,97,662.109375,2320.3125,baseline
500.0,42.0,3.8847882747650146,963.2475891113281,872.3653564453125,397.3608093261719,97,246.09375,2929.6875,baseline
265.0,77.0,3.8847882747650146,990.3277587890625,735.93115234375,267.9508056640625,97,451.171875,1552.734375,baseline
272.0,264.0,3.8847882747650146,1036.8399658203125,851.5460815429688,364.5452880859375,97,1546.875,1593.75,baseline
118.0,288.0,2.923192024230957,1061.5859680175781,765.8248901367188,231.04953002929688,57,1687.5,691.40625,baseline
290.0,476.0,2.923192024230957,881.0387878417969,930.156982421875,399.7879943847656,57,2789.0625,1699.21875,baseline
238.0,118.0,2.923192024230957,904.7792510986328,814.7286376953125,252.0550994873047,57,691.40625,1394.53125,baseline
450.0,479.0,3.8847882747650146,1011.5910339355469,764.0148315429688,295.8241271972656,97,2806.640625,2636.71875,baseline
23.0,340.0,2.923192024230957,995.2000732421875,758.2857666015625,224.2550048828125,57,1992.1875,134.765625,baseline
380.0,247.0,2.923192024230957,903.1942749023438,827.423095703125,329.35406494140625,57,1447.265625,2226.5625,baseline
292.0,244.0,3.8847882747650146,940.9403686523438,858.4425048828125,396.60308837890625,97,1429.6875,1710.9375,baseline
110.0,161.0,2.923192024230957,898.3429565429688,769.68017578125,238.84613037109375,57,943.359375,644.53125,baseline
425.0,236.0,3.8847882747650146,1085.3758544921875,770.486328125,327.374267578125,97,1382.8125,2490.234375,baseline
253.0,183.0,3.8847882747650146,973.7904052734375,757.0077514648438,295.2965087890625,97,1072.265625,1482.421875,baseline
231.0,387.0,2.923192024230957,949.7713317871094,691.0838623046875,239.57742309570312,57,2267.578125,1353.515625,baseline
108.0,341.0,2.923192024230957,910.7646484375,716.847900390625,200.4422607421875,57,1998.046875,632.8125,baseline
129.0,358.0,3.8847882747650146,845.7698059082031,723.2327880859375,265.5115661621094,97,2097.65625,755.859375,baseline
195.0,88.0,3.8847882747650146,949.3768310546875,876.2861328125,405.078125,97,515.625,1142.578125,baseline
286.0,96.0,3.8847882747650146,894.1170654296875,832.7711181640625,378.9903564453125,97,562.5,1675.78125,baseline
157.0,158.0,2.923192024230957,938.7616577148438,840.44482421875,329.93585205078125,57,925.78125,919.921875,baseline
476.0,377.0,2.923192024230957,1024.796142578125,885.1392822265625,322.2325439453125,57,2208.984375,2789.0625,baseline
210.0,159.0,2.923192024230957,792.9447021484375,934.3170776367188,489.3187255859375,57,931.640625,1230.46875,baseline
298.0,66.0,2.923192024230957,822.767333984375,986.12890625,474.8551025390625,57,386.71875,1746.09375,baseline
123.0,130.0,3.8847882747650146,918.8288879394531,876.8258666992188,470.7218933105469,97,761.71875,720.703125,baseline
487.0,232.0,3.8847882747650146,902.1446838378906,858.5020141601562,424.3266296386719,97,1359.375,2853.515625,baseline
171.0,69.0,3.8847882747650146,871.2616577148438,870.7434692382812,409.72808837890625,97,404.296875,1001.953125,baseline
258.0,214.0,3.8847882747650146,862.6617431640625,744.0424194335938,295.5042724609375,97,1253.90625,1511.71875,baseline
74.0,272.0,2.923192024230957,814.0940856933594,745.6126098632812,257.6794738769531,57,1593.75,433.59375,baseline
133.0,459.0,2.923192024230957,893.1864013671875,788.3448486328125,342.4686279296875,57,2689.453125,779.296875,baseline
465.0,69.0,3.8847882747650146,795.7766723632812,884.2849731445312,462.54571533203125,97,404.296875,2724.609375,baseline
110.0,501.0,2.923192024230957,917.6973266601562,865.9088745117188,394.64642333984375,57,2935.546875,644.53125,baseline
92.0,228.0,2.923192024230957,946.1898193359375,749.7298583984375,276.5225830078125,57,1335.9375,539.0625,baseline
441.0,315.0,2.923192024230957,965.8706970214844,851.2626342773438,366.0992736816406,57,1845.703125,2583.984375,baseline
86.0,323.0,3.8847882747650146,864.8705749511719,689.0556640625,250.54605102539062,97,1892.578125,503.90625,baseline
416.0,132.0,2.923192024230957,969.066162109375,902.799072265625,435.05078125,57,773.4375,2437.5,baseline
245.0,98.0,2.923192024230957,978.2878265380859,713.26123046875,237.62391662597656,57,574.21875,1435.546875,baseline
96.0,367.0,2.923192024230957,935.19384765625,711.4312744140625,192.6181640625,57,2150.390625,562.5,baseline
415.0,157.0,2.923192024230957,871.6846923828125,814.9229736328125,339.8968505859375,57,919.921875,2431.640625,baseline
276.0,166.0,3.8847882747650146,860.4693603515625,709.2535400390625,293.3310546875,97,972.65625,1617.1875,baseline
494.0,201.0,2.923192024230957,875.1741638183594,947.2667846679688,495.7079162597656,57,1177.734375,2894.53125,baseline
505.0,328.0,2.923192024230957,989.2443237304688,820.0400390625,309.26885986328125,57,1921.875,2958.984375,baseline
399.0,223.0,2.923192024230957,880.3311767578125,754.203857421875,320.08349609375,57,1306.640625,2337.890625,baseline
461.0,268.0,2.923192024230957,930.9539184570312,797.0255126953125,330.19110107421875,57,1570.3125,2701.171875,baseline
0.0,311.0,3.8847882747650146,799.8662109375,701.4928588867188,339.818359375,54,1822.265625,0.0,baseline
298.0,187.0,3.8847882747650146,879.2003784179688,735.829345703125,330.12933349609375,97,1095.703125,1746.09375,baseline
383.0,278.0,2.923192024230957,748.4844970703125,885.4230346679688,451.3978271484375,57,1628.90625,2244.140625,baseline
504.0,387.0,2.923192024230957,864.1386871337891,721.3424072265625,210.64268493652344,57,2267.578125,2953.125,baseline
197.0,184.0,2.923192024230957,887.165771484375,837.5599365234375,350.9615478515625,57,1078.125,1154.296875,baseline
392.0,391.0,2.923192024230957,920.4506530761719,793.5867309570312,343.8116760253906,57,2291.015625,2296.875,baseline
169.0,511.0,3.8847882747650146,836.375,792.3822631835938,388.96630859375,54,2994.140625,990.234375,baseline
91.0,397.0,2.923192024230957,889.4779663085938,818.5377197265625,350.86859130859375,57,2326.171875,533.203125,baseline
502.0,446.0,2.923192024230957,753.9451904296875,777.6945190429688,303.6417236328125,57,2613.28125,2941.40625,baseline
296.0,215.0,2.923192024230957,985.8561706542969,852.7696533203125,398.3760070800781,57,1259.765625,1734.375,baseline
241.0,313.0,3.8847882747650146,1038.4775695800781,685.5296630859375,248.50802612304688,97,1833.984375,1412.109375,baseline
142.0,247.0,2.923192024230957,878.3075561523438,811.5670776367188,368.52301025390625,57,1447.265625,832.03125,baseline
374.0,299.0,2.923192024230957,833.5723266601562,936.68505859375,490.76519775390625,57,1751.953125,2191.40625,baseline
201.0,384.0,2.923192024230957,895.6390380859375,889.826416015625,444.3980712890625,57,2250.0,1177.734375,baseline
330.0,115.0,2.923192024230957,822.3121643066406,797.9315185546875,331.2503356933594,57,673.828125,1933.59375,baseline
99.0,457.0,2.923192024230957,787.0498962402344,658.8986206054688,227.08639526367188,57,2677.734375,580.078125,baseline
358.0,484.0,2.923192024230957,863.9847717285156,820.123291015625,310.3787536621094,57,2835.9375,2097.65625,baseline
45.0,280.0,2.923192024230957,823.8495330810547,745.2882690429688,251.1238555908203,57,1640.625,263.671875,baseline
257.0,444.0,3.8847882747650146,812.2598266601562,670.9242553710938,261.99774169921875,97,2601.5625,1505.859375,baseline
370.0,328.0,2.923192024230957,760.7364196777344,904.0966186523438,454.1627502441406,57,1921.875,2167.96875,baseline
253.0,331.0,3.8847882747650146,854.55712890625,656.93994140625,241.95263671875,97,1939.453125,1482.421875,baseline
511.0,225.0,2.923192024230957,754.907470703125,798.7299194335938,372.7037353515625,33,1318.359375,2994.140625,baseline
